english,urdu
I eat apples today.,میں سیب آج کھاتا ہوں۔
I eat apples tomorrow.,میں سیب کل کھاتا ہوں۔
I eat apples every day.,میں سیب ہر روز کھاتا ہوں۔
I eat apples now.,میں سیب ابھی کھاتا ہوں۔
I eat apples at home.,میں سیب گھر پر کھاتا ہوں۔
I eat books today.,میں کتابیں آج کھاتا ہوں۔
I eat books tomorrow.,میں کتابیں کل کھاتا ہوں۔
I eat books every day.,میں کتابیں ہر روز کھاتا ہوں۔
I eat books now.,میں کتابیں ابھی کھاتا ہوں۔
I eat books at home.,میں کتابیں گھر پر کھاتا ہوں۔
I eat music today.,میں موسیقی آج کھاتا ہوں۔
I eat music tomorrow.,میں موسیقی کل کھاتا ہوں۔
I eat music every day.,میں موسیقی ہر روز کھاتا ہوں۔
I eat music now.,میں موسیقی ابھی کھاتا ہوں۔
I eat music at home.,میں موسیقی گھر پر کھاتا ہوں۔
I eat football today.,میں فٹبال آج کھاتا ہوں۔
I eat football tomorrow.,میں فٹبال کل کھاتا ہوں۔
I eat football every day.,میں فٹبال ہر روز کھاتا ہوں۔
I eat football now.,میں فٹبال ابھی کھاتا ہوں۔
I eat football at home.,میں فٹبال گھر پر کھاتا ہوں۔
I eat coffee today.,میں کافی آج کھاتا ہوں۔
I eat coffee tomorrow.,میں کافی کل کھاتا ہوں۔
I eat coffee every day.,میں کافی ہر روز کھاتا ہوں۔
I eat coffee now.,میں کافی ابھی کھاتا ہوں۔
I eat coffee at home.,میں کافی گھر پر کھاتا ہوں۔
I eat tea today.,میں چائے آج کھاتا ہوں۔
I eat tea tomorrow.,میں چائے کل کھاتا ہوں۔
I eat tea every day.,میں چائے ہر روز کھاتا ہوں۔
I eat tea now.,میں چائے ابھی کھاتا ہوں۔
I eat tea at home.,میں چائے گھر پر کھاتا ہوں۔
I eat cars today.,میں گاڑیاں آج کھاتا ہوں۔
I eat cars tomorrow.,میں گاڑیاں کل کھاتا ہوں۔
I eat cars every day.,میں گاڑیاں ہر روز کھاتا ہوں۔
I eat cars now.,میں گاڑیاں ابھی کھاتا ہوں۔
I eat cars at home.,میں گاڑیاں گھر پر کھاتا ہوں۔
I eat movies today.,میں فلمیں آج کھاتا ہوں۔
I eat movies tomorrow.,میں فلمیں کل کھاتا ہوں۔
I eat movies every day.,میں فلمیں ہر روز کھاتا ہوں۔
I eat movies now.,میں فلمیں ابھی کھاتا ہوں۔
I eat movies at home.,میں فلمیں گھر پر کھاتا ہوں۔
I eat cats today.,میں بلیاں آج کھاتا ہوں۔
I eat cats tomorrow.,میں بلیاں کل کھاتا ہوں۔
I eat cats every day.,میں بلیاں ہر روز کھاتا ہوں۔
I eat cats now.,میں بلیاں ابھی کھاتا ہوں۔
I eat cats at home.,میں بلیاں گھر پر کھاتا ہوں۔
I eat dogs today.,میں کتے آج کھاتا ہوں۔
I eat dogs tomorrow.,میں کتے کل کھاتا ہوں۔
I eat dogs every day.,میں کتے ہر روز کھاتا ہوں۔
I eat dogs now.,میں کتے ابھی کھاتا ہوں۔
I eat dogs at home.,میں کتے گھر پر کھاتا ہوں۔
I like apples today.,میں سیب آج پسند کرتا ہوں۔
I like apples tomorrow.,میں سیب کل پسند کرتا ہوں۔
I like apples every day.,میں سیب ہر روز پسند کرتا ہوں۔
I like apples now.,میں سیب ابھی پسند کرتا ہوں۔
I like apples at home.,میں سیب گھر پر پسند کرتا ہوں۔
I like books today.,میں کتابیں آج پسند کرتا ہوں۔
I like books tomorrow.,میں کتابیں کل پسند کرتا ہوں۔
I like books every day.,میں کتابیں ہر روز پسند کرتا ہوں۔
I like books now.,میں کتابیں ابھی پسند کرتا ہوں۔
I like books at home.,میں کتابیں گھر پر پسند کرتا ہوں۔
I like music today.,میں موسیقی آج پسند کرتا ہوں۔
